,city,normalized SD
55,הרצליה,42.04132644
81,מנשה,41.00540581
1,בת ים,40.89459239
140,קצרין,40.86484265
129,טבריה,40.3473229
60,אבן יהודה,38.92054512
122,הר חברון,38.85527909
36,חולון,38.55225765
79,זבולון,38.05982224
59,לוד,36.83776683
142,ינוח-ג'ת,35.97294815
217,שדות דן,35.66881226
3,רעננה,35.65704875
69,טמרה,35.46711638
107,אשקלון,34.84683906
126,מקווה ישראל,34.59699064
72,באר שבע,34.45530004
137,עמק יזרעאל,34.31267803
76,רמת גן,33.72160755
40,ערד,32.88396133
27,שפיר,32.11079711
159,רמלה,31.66608882
65,נצרת,31.55226916
125,גני תקוה,31.34633023
24,באר טוביה,31.27371117
10,ראשון לציון,30.5082661
21,חוף אשקלון,30.40212976
110,מטה בנימין,30.15025406
123,קרית ארבע,29.98458174
155,קרית יערים,29.47152258
138,כאבול,28.89586517
11,חוף הכרמל,28.79510634
0,רחובות,28.30983569
18,גן רוה,27.9381863
32,עמק חפר,27.93556536
116,עילבון,27.69274423
12,חיפה,27.27587757
199,דאלית אל-כרמל,26.932088
15,צפת,26.88018049
164,כפר יאסיף,26.68828706
17,נתניה,26.55974741
43,מודיעין עילית,26.4398474
33,עספיא,25.76984374
37,גולן,25.61145666
23,אשדוד,25.36182415
34,שדות נגב עזתה,24.8677784
207,הערבה התיכונה,24.15807274
49,כפר סבא,23.84742981
31,נחל שורק,23.74732664
39,עמק הירדן,22.73137565
28,נתיבות,22.52070697
104,בקעת הירדן,22.41365708
144,יפיע,22.36158632
73,חבל יבנה,22.01471648
68,יבנה,21.58312405
13,פתח תקוה,21.57046949
29,קרית ביאליק,21.55163871
52,קרית ים,20.38419519
7,תל אביב-יפו,20.23949571
179,גן יבנה,20.07892006
215,זמר,19.94569461
16,בית שמש,19.6165827
191,נחף,19.31915251
210,ג'סר א-זרקא,18.65609684
26,קרית גת,18.32174765
182,שוהם,17.62731826
47,קרית מוצקין,17.40819794
181,בית אל,17.37234189
173,יהוד נווה אפרים,17.04471433
42,ביתר עילית,16.23653807
14,בני ברק,16.02307897
78,צורן קדימה,15.96414353
211,גבעתיים,15.69342561
128,ריינה,15.50614312
109,קרית אונו,15.29028492
35,אור יהודה,14.63040489
184,יקנעם עילית,14.58330609
124,דיר חנא,14.57019064
162,מסעדה,14.41263724
2,אלעד,14.34325178
170,אלקנה,14.22606509
118,אפרתה,13.47234923
20,מגדל העמק,12.90378625
82,ירוחם,12.73107303
171,גבעת שמואל,11.73199762
221,ג'לג'וליה,11.38563854
234,מרום הגליל,11.13911674
56,רמת השרון,11.09806647
146,הגליל העליון,11.08495346
115,ראמה,10.76976415
89,לקיה,10.25743521
9,ירושלים,9.949014954
92,שגב שלום,9.437095382
222,קלנסווה,9.433361165
98,בני שמעון,8.578292259
41,נשר,8.455505378
127,דייר אל-אסד,8.154924704
121,טורעאן,8.139099039
157,"בסמ""ה",7.135362359
160,מעלות-תרשיחא,6.933348982
71,מעלה עירון,5.674634171
178,כפר יונה,5.218368276
185,מזכרת בתיה,4.903493173
111,אשכול,4.364335338
6,ברנר,3.116830118
183,בענה,0.475451207
